Label No.;AGREGATED;RIGHT HAND;LEFT HAND;TORSO;HEAD
1;export-stand_jos.csv;down;down;vertical;vertical
2;export-dreapta_sus.csv;up;down;vertical;vertical
3;export-stanga_sus.csv;down;up;vertical;vertical
4;export-ambele_sus.csv;up;up;vertical;vertical
5;export-dreapta_frontal.csv;frontal;down;vertical;vertical
6;export-stanga_frontal.csv;down;frontal;vertical;vertical
7;export-sus_frontal.csv;up;frontal;vertical;vertical
8;export-frontal_sus.csv;frontal;up;vertical;vertical
9;export-sus_lateral.csv;up;lateral;vertical;vertical
10;export-lateral_sus.csv;lateral;up;vertical;vertical
11;export-lateral_frontal.csv;lateral;frontal;vertical;vertical
12;export-frontal_lateral.csv;frontal;lateral;vertical;vertical
13;export-jos_lateral.csv;down;lateral;vertical;vertical
14;export-lateral_jos.csv;lateral;down;vertical;vertical
15;export-frontal_frontal.csv;frontal;frontal;vertical;vertical
16;export-lateral_lateral.csv;lateral;lateral;vertical;vertical
17;export-AF_stand_jos.csv;down;down;bent_frontal;bent_frontal
18;export-AF_dreapta_sus.csv;up;down;bent_frontal;bent_frontal
19;export-AF_stanga_sus.csv;down;up;bent_frontal;bent_frontal
20;export-AF_sus_sus.csv;up;up;bent_frontal;bent_frontal
21;export-AF_frontal_jos.csv;frontal;down;bent_frontal;bent_frontal
22;export-AF_jos_frontal.csv;down;frontal;bent_frontal;bent_frontal
23;export-AF_sus_frontal.csv;up;frontal;bent_frontal;bent_frontal
24;export-AF_frontal_sus.csv;frontal;up;bent_frontal;bent_frontal
25;export-AF_sus_lateral.csv;up;lateral;bent_frontal;bent_frontal
26;export-AF_lateral_sus.csv;lateral;up;bent_frontal;bent_frontal
27;export-AF_lateral_frontal.csv;lateral;frontal;bent_frontal;bent_frontal
28;export-AF_frontal_lateral.csv;frontal;lateral;bent_frontal;bent_frontal
29;export-AF_jos_lateral.csv;down;lateral;bent_frontal;bent_frontal
30;export-AF_lateral_jos.csv;lateral;down;bent_frontal;bent_frontal
31;export-AF_frontal_frontal.csv;frontal;frontal;bent_frontal;bent_frontal
32;export-AF_lateral_lateral.csv;lateral;lateral;bent_frontal;bent_frontal
33;export-AS_stand_jos.csv;down;down;bent_left;bent_left
34;export-AS_dreapta_sus.csv;up;down;bent_left;bent_left
35;export-AS_stanga_sus.csv;down;up;bent_left;bent_left
36;export-AS_ambele_sus.csv;up;up;bent_left;bent_left
37;export-AS_frontal_jos.csv;frontal;down;bent_left;bent_left
38;export-AS_stanga_frontal.csv;down;frontal;bent_left;bent_left
39;export-AS_sus_frontal.csv;up;frontal;bent_left;bent_left
40;export-AS_frontal_sus.csv;frontal;up;bent_left;bent_left
41;export-AS_sus_lateral.csv;up;lateral;bent_left;bent_left
42;export-AS_lateral_sus.csv;lateral;up;bent_left;bent_left
43;export-AS_lateral_frontal.csv;lateral;frontal;bent_left;bent_left
44;export-AS_frontal_lateral.csv;frontal;lateral;bent_left;bent_left
45;export-AS_jos_lateral.csv;down;lateral;bent_left;bent_left
46;export-AS_lateral_jos.csv;lateral;down;bent_left;bent_left
47;export-AS_frontal_frontal.csv;frontal;frontal;bent_left;bent_left
48;export-AS_lateral_lateral.csv;lateral;lateral;bent_left;bent_left
49;export-AD_stand_jos.csv;down;down;bent_right;bent_right
50;export-AD_dreapta_sus.csv;up;down;bent_right;bent_right
51;export-AD_stanga_sus.csv;down;up;bent_right;bent_right
52;export-AD_sus_sus.csv;up;up;bent_right;bent_right
53;export-AD_frontal_jos.csv;frontal;down;bent_right;bent_right
54;export-AD_jos_frontal.csv;down;frontal;bent_right;bent_right
55;export-AD_sus_frontal.csv;up;frontal;bent_right;bent_right
56;export-AD_frontal_sus.csv;frontal;up;bent_right;bent_right
57;export-AD_sus_lateral.csv;up;lateral;bent_right;bent_right
58;export-AD_lateral_sus.csv;lateral;up;bent_right;bent_right
59;export-AD_lateral_frontal.csv;lateral;frontal;bent_right;bent_right
60;export-AD_frontal_lateral.csv;frontal;lateral;bent_right;bent_right
61;export-AD_jos_lateral.csv;down;lateral;bent_right;bent_right
62;export-AD_lateral_jos.csv;lateral;down;bent_right;bent_right
63;export-AD_frontal_frontal.csv;frontal;frontal;bent_right;bent_right
64;export-AD_lateral_lateral.csv;lateral;lateral;bent_right;bent_right
